operacao_original,operacao_reclassificado
-,Não informado
AEP - GRU - MGF,Internacional
AEP/BSB,Internacional
AEP/FLN,Internacional
AEP/GIG,Internacional
AEP/GIG/MAO,Internacional
AEP/GRU,Internacional
AEP/GRU/FLN,Internacional
AEP/GRU/GYN,Internacional
AEP/GRU/IOS,Internacional
AEP/GRU/SSA,Internacional
AER/GRU,Internacional
AJU/BSB,Doméstico
AJU/CGH,Doméstico
AJU/GIG,Doméstico
AJU/GIG/CWB,Doméstico
AJU/GIG/MAO/PVH,Doméstico
AJU/GRU,Doméstico
AJU/GRU/CGH/AJU,Doméstico
AJU/GRU/CGR,Doméstico
AJU/GRU/CWB,Doméstico
AJU/GRU/LDB,Doméstico
AJU/GRU/PPB,Doméstico
AJU/GRU/VIX,Doméstico
AJU/GYN,Doméstico
AJU/NVT,Doméstico
AJU/SSA,Doméstico
AJU/VIX,Doméstico
AMS/GIG/CGH,Internacional
AMS/ZRH,Internacional
ARU - MCZ,Doméstico
ARU - REC,Doméstico
ARU/GRU,Doméstico
ARU/GRU/CFB/CFB/GRU/ARU,Doméstico
ARU/GRU/FLN,Doméstico
ARU/GRU/IOS/GRU/ARU,Doméstico
ARU/GRU/MCZ,Doméstico
ARU/GRU/MCZ/MCZ/GRU/ARU,Doméstico
ARU/GRU/REC/REC/GRU/ARU,Doméstico
ARU/GRU/SSA,Doméstico
ASU/GRU,Internacional
ASU/GRU/MAO,Internacional
ATL/GIG,Internacional
AUX/BSB,Doméstico
BEL - MAO,Doméstico
BEL/BSB,Doméstico
BEL/BSB/BSB/CGH,Doméstico
BEL/BSB/CGH,Doméstico
BEL/BSB/CGH/CWB,Doméstico
BEL/BSB/GRU,Doméstico
BEL/BSB/GYN,Doméstico
BEL/BSB/PVH,Doméstico
BEL/FOR,Doméstico
BEL/FOR/CGH,Doméstico
BEL/FOR/REC,Doméstico
BEL/FOR/SSA,Doméstico
BEL/GRU,Doméstico
BEL/GRU/CAC,Doméstico
BEL/GRU/FLN,Doméstico
BEL/GRU/MGF,Doméstico
BEL/GRU/VIX,Doméstico
BEL/GRU/XAP,Doméstico
BEL/MAO,Doméstico
BEL/MAO/MAO/BSB/BEL,Doméstico
BEL/MCP,Doméstico
BEL/PBM,Internacional
BEL/PVH,Doméstico
BEL/STM,Doméstico
BLQ/AMS/GRU/BPS,Internacional
BPS - GRU,Doméstico
BPS - GRU,Doméstico
BPS - SSA,Doméstico
BPS/ GRU/CGR,Doméstico
BPS/BSB,Doméstico
BPS/BSB/CNF/CNF/BSB/BPS,Doméstico
BPS/BSB/PVH,Doméstico
BPS/CAC,Doméstico
BPS/CGH,Doméstico
BPS/CGH/FLN,Doméstico
BPS/CNF,Doméstico
BPS/CNF/CNF/BPS,Doméstico
BPS/CNF/CNF/BSB,Doméstico
