situacao_processual,resultado_decisao,novo_situacao_processual+resultado_decisao,situacao_processual_sentenca
,Acordo,Acordo,Acordo
,Condenação,Condenação,Condenação
,Outros,Não informado,Outros
,Vitória,Decisão favorável à aérea (improcedência),Vitória
,,Não informado,
,,Não informado,
,Duplicidade,Não informado,Duplicidade
,Outros,Não informado,Outros
ACÓRDÃO,,Não informado,ACÓRDÃO
ACÓRDÃO,Acordo durante a audiência,Acordo,ACÓRDÃOAcordo durante a audiência
ACÓRDÃO,Condenação fixada em acórdão (improcedência reformada),Condenação,ACÓRDÃOCondenação fixada em acórdão (improcedência reformada)
ACÓRDÃO,Condenação majorada em acordão,Condenação,ACÓRDÃOCondenação majorada em acordão
ACÓRDÃO,Condenação mantida em acórdão,Condenação,ACÓRDÃOCondenação mantida em acórdão
ACÓRDÃO,Condenação paga por acordo,Acordo,ACÓRDÃOCondenação paga por acordo
ACÓRDÃO,Condenação reduzida em acordão,Condenação,ACÓRDÃOCondenação reduzida em acordão
ACÓRDÃO,Condenação revertida em improcedência,Decisão favorável à aérea (improcedência),ACÓRDÃOCondenação revertida em improcedência
ACÓRDÃO,Improcedência mantida em acórdão,Decisão favorável à aérea (improcedência),ACÓRDÃOImprocedência mantida em acórdão
ACÓRDÃO,Improcedente,Decisão favorável à aérea (improcedência),ACÓRDÃOImprocedente
ACÓRDÃO,Parcial,Condenação,ACÓRDÃOParcial
ACÓRDÃO,Prescrição,Decisão favorável à aérea (improcedência),ACÓRDÃOPrescrição
ACÓRDÃO,Procedente em parte,Condenação,ACÓRDÃOProcedente em parte
ACÓRDÃO,Recurso não conhecido,Condenação,ACÓRDÃORecurso não conhecido
ACÓRDÃO,Total,Não informado,ACÓRDÃOTotal
ACORDO,,Acordo,ACORDO
Acordo,,Acordo,Acordo
Acordo,Acordo,Acordo,AcordoAcordo
ACORDO,ACORDO,Acordo,ACORDOACORDO
ACORDO,Acordo,Acordo,ACORDOAcordo
ACORDO,Acordo antes da audiência,Acordo,ACORDOAcordo antes da audiência
ACORDO,Acordo após a audiência,Acordo,ACORDOAcordo após a audiência
ACORDO,ACORDO COM OBRIGAÇÃO DE FAZER E PAGAR,Acordo,ACORDOACORDO COM OBRIGAÇÃO DE FAZER E PAGAR
ACORDO,Acordo com terceiro que aproveitou o cliente,Extinção sem julgamento do mérito,ACORDOAcordo com terceiro que aproveitou o cliente
ACORDO,Acordo durante a audiência,Acordo,ACORDOAcordo durante a audiência
ACORDO,ACORDO SOMENTE COM OBRIGAÇÃO DE FAZER,Acordo,ACORDOACORDO SOMENTE COM OBRIGAÇÃO DE FAZER
ACORDO,ACORDO SOMENTE COM OBRIGAÇÃO DE PAGAR,Acordo,ACORDOACORDO SOMENTE COM OBRIGAÇÃO DE PAGAR
ACORDO,Condenação,Condenação,ACORDOCondenação
ACORDO,Condenação fixada em acórdão (improcedência reformada),Condenação,ACORDOCondenação fixada em acórdão (improcedência reformada)
