valor_original,novo_valor
0,Não informado
0,Não informado
1,Não informado
6,Não informado
-,Não informado
 01ª Vara do Sistema dos Juizados ,Juizado Especial Cível
 Juizado Especial Cível e Criminal ,Juizado Especial Cível
01° Juizado Especial Cível,Juizado Especial Cível
01° Juizado Especial Cível ,Juizado Especial Cível
01° Juizado Especial Cível - Regional da Barra da Tijuca,Juizado Especial Cível
01° Juizado Especial Cível - Regional da Lapa,Juizado Especial Cível
01° Juizado Especial Cível - Regional da Região Oceânica,Juizado Especial Cível
01° Juizado Especial Cível - Regional de Jabaquara,Juizado Especial Cível
01° Juizado Especial Cível - Regional de Pinheiros,Juizado Especial Cível
01° Juizado Especial Cível - Regional de Santana,Juizado Especial Cível
01° Juizado Especial Cível - Regional de Santo Amaro,Juizado Especial Cível
01° Juizado Especial Cível - Regional de Vila Prudente,Juizado Especial Cível
01° Juizado Especial Cível - Regional Penha de França,Juizado Especial Cível
01° Juizado Especial Cível - Regional Vergueiro,Juizado Especial Cível
01° Juizado Especial Cível Anexo FMU ,Juizado Especial Cível
01° UJ - 1°  Jd. Cível ,Vara Cível
01ª Câmara Cível,Vara Cível
01ª Câmara de Direito Cívil,Vara Cível
01ª Câmara de Direito Privado,Vara Cível
01ª Juizado Especial Civel,Juizado Especial Cível
01ª Juizado Especial Cível ,Juizado Especial Cível
01ª Turma Cível,Juizado Especial Cível
01ª Turma Recursal,Juizado Especial Cível
01ª Turma Recursal Cível,Juizado Especial Cível
01ª Turma Recursal dos Juizados Especiais,Juizado Especial Cível
01ª UJ - 2º Jd Cível ,Vara Cível
01ª Unidade Jurisdicional Cível ,Vara Cível
01ª Unidade Jurisdicional Cível - 1º JD ,Vara Cível
01ª Unidade Jurisdicional Cível - 2º JD ,Vara Cível
01ª Unidade Jurisdicional Cível - 3º JD ,Vara Cível
01ª Unidade Jurisdicional Única de Itabira,Vara Cível
01ª Vara,Vara Cível
01ª Vara,Vara Cível
01ª Vara Cível,Vara Cível
01ª Vara Cível ,Vara Cível
01ª Vara Cível - Foro Regional de Itaipava,Vara Cível
01ª Vara Cível - Fórum Regional de Pinheiros - XI,Vara Cível
01ª Vara Cível - Regional da Barra da Tijuca,Vara Cível
01ª Vara Cível - Regional de Jabaquara,Vara Cível
01ª Vara Cível - Regional de Jacarepaguá,Vara Cível
01ª Vara Cível - Regional de Pinheiros,Vara Cível
01ª Vara Cível - Regional de Tatuapé,Vara Cível
01ª Vara Cível - Regional de Tristeza,Vara Cível
01ª Vara Cível Do Foro Regional,Vara Cível
01ª Vara Cível e Criminal ,Vara Cível
01ª Vara Cível e Empresarial ,Vara Cível
01ª Vara da Fazenda Pública,Outros
01ª Vara de Feitos de Rel de Cons. Cível e Comerciais ,Vara Cível
01ª Vara de Precatórias,Vara Cível
01ª Vara de Relações de Consumo ,Vara Cível
01ª Vara Descentralizada da Cidade Industrial ,Vara Cível
01ª Vara Descentralizada de Pinheirinho ,Vara Cível
